model,analyzer,lowercase,max_df,min_df,ngram_range,processing,type,C,class_weight,gamma,kernel,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
svm,word,True,0.5,20,"(1, 3)",new,stem,1.5,balanced,auto,rbf,0.6421266611077316,0.30337078651685395,0.7961315280464216,0.40981595092024536,0.6836221352711012,0.517181879457082,0.20276497695852533,0.6774668630338733,0.40850277264325324,0.5593525179856115
svm,word,True,1.0,20,"(1, 1)",new,stem,1.5,balanced,auto,rbf,0.6421266611077316,0.30337078651685395,0.7961315280464216,0.40981595092024536,0.6836221352711012,0.517181879457082,0.20276497695852533,0.6774668630338733,0.40850277264325324,0.5593525179856115
svm,word,True,1.0,20,"(1, 2)",new,stem,1.5,balanced,auto,rbf,0.6421266611077316,0.30337078651685395,0.7961315280464216,0.40981595092024536,0.6836221352711012,0.517181879457082,0.20276497695852533,0.6774668630338733,0.40850277264325324,0.5593525179856115
svm,word,True,1.0,20,"(1, 3)",new,stem,1.5,balanced,auto,rbf,0.6421266611077316,0.30337078651685395,0.7961315280464216,0.40981595092024536,0.6836221352711012,0.517181879457082,0.20276497695852533,0.6774668630338733,0.40850277264325324,0.5593525179856115
svm,word,True,0.25,20,"(1, 1)",new,lemma,0.1,,scale,poly,0.6420152874374111,0.0,0.8013569543912552,0.4322429906542056,0.6975964225824483,0.5042724193559536,0.0,0.6685340802987862,0.41123188405797095,0.565347721822542
svm,word,True,0.25,20,"(1, 2)",new,lemma,0.1,,scale,poly,0.6420152874374111,0.0,0.8013569543912552,0.4322429906542056,0.6975964225824483,0.5042724193559536,0.0,0.6685340802987862,0.41123188405797095,0.565347721822542
svm,word,True,0.25,20,"(1, 3)",new,lemma,0.1,,scale,poly,0.6420152874374111,0.0,0.8013569543912552,0.4322429906542056,0.6975964225824483,0.5042724193559536,0.0,0.6685340802987862,0.41123188405797095,0.565347721822542
svm,word,True,0.5,20,"(1, 1)",new,lemma,0.1,,scale,poly,0.6420152874374111,0.0,0.8013569543912552,0.4322429906542056,0.6975964225824483,0.5042724193559536,0.0,0.6685340802987862,0.41123188405797095,0.565347721822542
svm,word,True,0.5,20,"(1, 2)",new,lemma,0.1,,scale,poly,0.6420152874374111,0.0,0.8013569543912552,0.4322429906542056,0.6975964225824483,0.5042724193559536,0.0,0.6685340802987862,0.41123188405797095,0.565347721822542
svm,word,True,0.5,20,"(1, 3)",new,lemma,0.1,,scale,poly,0.6420152874374111,0.0,0.8013569543912552,0.4322429906542056,0.6975964225824483,0.5042724193559536,0.0,0.6685340802987862,0.41123188405797095,0.565347721822542
svm,word,True,1.0,20,"(1, 1)",new,lemma,0.1,,scale,poly,0.6420152874374111,0.0,0.8013569543912552,0.4322429906542056,0.6975964225824483,0.5042724193559536,0.0,0.6685340802987862,0.41123188405797095,0.565347721822542
svm,word,True,1.0,20,"(1, 2)",new,lemma,0.1,,scale,poly,0.6420152874374111,0.0,0.8013569543912552,0.4322429906542056,0.6975964225824483,0.5042724193559536,0.0,0.6685340802987862,0.41123188405797095,0.565347721822542
svm,word,True,1.0,20,"(1, 3)",new,lemma,0.1,,scale,poly,0.6420152874374111,0.0,0.8013569543912552,0.4322429906542056,0.6975964225824483,0.5042724193559536,0.0,0.6685340802987862,0.41123188405797095,0.565347721822542
svm,word,True,0.25,1,"(1, 2)",new,lemma,1.5,balanced,scale,poly,0.6415584463171897,0.18823529411764706,0.7888931152529478,0.4328703703703704,0.6886528787031861,0.5440846047402421,0.14754098360655737,0.6786407766990291,0.46620450606585784,0.5857314148681055
svm,word,True,0.5,1,"(1, 2)",new,lemma,1.5,balanced,scale,poly,0.6415584463171897,0.18823529411764706,0.7888931152529478,0.4328703703703704,0.6886528787031861,0.5440846047402421,0.14754098360655737,0.6786407766990291,0.46620450606585784,0.5857314148681055
svm,word,True,1.0,1,"(1, 2)",new,lemma,1.5,balanced,scale,poly,0.6415584463171897,0.18823529411764706,0.7888931152529478,0.4328703703703704,0.6886528787031861,0.5440846047402421,0.14754098360655737,0.6786407766990291,0.46620450606585784,0.5857314148681055
svm,word,True,0.25,20,"(1, 1)",new,stem,0.1,,scale,poly,0.6403973358426477,0.0,0.8015009380863038,0.42739079102715466,0.6981553940749021,0.49628859523777824,0.0,0.6654275092936802,0.39817351598173517,0.5599520383693045
svm,word,True,0.25,20,"(1, 2)",new,stem,0.1,,scale,poly,0.6403973358426477,0.0,0.8015009380863038,0.42739079102715466,0.6981553940749021,0.49628859523777824,0.0,0.6654275092936802,0.39817351598173517,0.5599520383693045
svm,word,True,0.25,20,"(1, 3)",new,stem,0.1,,scale,poly,0.6403973358426477,0.0,0.8015009380863038,0.42739079102715466,0.6981553940749021,0.49628859523777824,0.0,0.6654275092936802,0.39817351598173517,0.5599520383693045
svm,word,True,0.5,20,"(1, 1)",new,stem,0.1,,scale,poly,0.6403973358426477,0.0,0.8015009380863038,0.42739079102715466,0.6981553940749021,0.49628859523777824,0.0,0.6654275092936802,0.39817351598173517,0.5599520383693045
svm,word,True,0.5,20,"(1, 2)",new,stem,0.1,,scale,poly,0.6403973358426477,0.0,0.8015009380863038,0.42739079102715466,0.6981553940749021,0.49628859523777824,0.0,0.6654275092936802,0.39817351598173517,0.5599520383693045
svm,word,True,0.5,20,"(1, 3)",new,stem,0.1,,scale,poly,0.6403973358426477,0.0,0.8015009380863038,0.42739079102715466,0.6981553940749021,0.49628859523777824,0.0,0.6654275092936802,0.39817351598173517,0.5599520383693045
svm,word,True,1.0,20,"(1, 1)",new,stem,0.1,,scale,poly,0.6403973358426477,0.0,0.8015009380863038,0.42739079102715466,0.6981553940749021,0.49628859523777824,0.0,0.6654275092936802,0.39817351598173517,0.5599520383693045
svm,word,True,1.0,20,"(1, 2)",new,stem,0.1,,scale,poly,0.6403973358426477,0.0,0.8015009380863038,0.42739079102715466,0.6981553940749021,0.49628859523777824,0.0,0.6654275092936802,0.39817351598173517,0.5599520383693045
svm,word,True,1.0,20,"(1, 3)",new,stem,0.1,,scale,poly,0.6403973358426477,0.0,0.8015009380863038,0.42739079102715466,0.6981553940749021,0.49628859523777824,0.0,0.6654275092936802,0.39817351598173517,0.5599520383693045
svm,word,True,0.25,1,"(1, 2)",new,lemma,5.0,,scale,poly,0.6387163123442743,0.18823529411764706,0.7913994718973971,0.4204275534441805,0.6897708216880939,0.5145506605806424,0.13333333333333333,0.6751173708920187,0.4123524069028156,0.5713429256594724
svm,word,True,0.5,1,"(1, 2)",new,lemma,5.0,,scale,poly,0.6387163123442743,0.18823529411764706,0.7913994718973971,0.4204275534441805,0.6897708216880939,0.5145506605806424,0.13333333333333333,0.6751173708920187,0.4123524069028156,0.5713429256594724
svm,word,True,1.0,1,"(1, 2)",new,lemma,5.0,,scale,poly,0.6387163123442743,0.18823529411764706,0.7913994718973971,0.4204275534441805,0.6897708216880939,0.5145506605806424,0.13333333333333333,0.6751173708920187,0.4123524069028156,0.5713429256594724
svm,word,True,0.25,1,"(1, 2)",new,stem,5.0,balanced,scale,poly,0.6375084149026959,0.1758241758241758,0.7872097449562238,0.42558139534883727,0.6847400782560089,0.5530163050181041,0.18644067796610167,0.6847984458474987,0.4745470232959449,0.5941247002398081
svm,word,True,0.5,1,"(1, 2)",new,stem,5.0,balanced,scale,poly,0.6375084149026959,0.1758241758241758,0.7872097449562238,0.42558139534883727,0.6847400782560089,0.5530163050181041,0.18644067796610167,0.6847984458474987,0.4745470232959449,0.5941247002398081
svm,word,True,1.0,1,"(1, 2)",new,stem,5.0,balanced,scale,poly,0.6375084149026959,0.1758241758241758,0.7872097449562238,0.42558139534883727,0.6847400782560089,0.5530163050181041,0.18644067796610167,0.6847984458474987,0.4745470232959449,0.5941247002398081
svm,word,True,0.25,1,"(1, 2)",new,stem,1.5,balanced,scale,poly,0.6370522052697422,0.1758241758241758,0.7867479055597867,0.4250871080139373,0.684181106763555,0.5532879508745587,0.18644067796610167,0.6828793774319066,0.4767641996557659,0.5935251798561151
svm,word,True,0.5,1,"(1, 2)",new,stem,1.5,balanced,scale,poly,0.6370522052697422,0.1758241758241758,0.7867479055597867,0.4250871080139373,0.684181106763555,0.5532879508745587,0.18644067796610167,0.6828793774319066,0.4767641996557659,0.5935251798561151
svm,word,True,1.0,1,"(1, 2)",new,stem,1.5,balanced,scale,poly,0.6370522052697422,0.1758241758241758,0.7867479055597867,0.4250871080139373,0.684181106763555,0.5532879508745587,0.18644067796610167,0.6828793774319066,0.4767641996557659,0.5935251798561151
svm,word,True,0.25,1,"(1, 2)",new,lemma,1.5,,scale,poly,0.6369578342586277,0.16666666666666666,0.7914156626506024,0.4176610978520286,0.68921185019564,0.5200654120505307,0.13333333333333333,0.6757904672015101,0.4226618705035971,0.5743405275779376
svm,word,True,0.5,1,"(1, 2)",new,lemma,1.5,,scale,poly,0.6369578342586277,0.16666666666666666,0.7914156626506024,0.4176610978520286,0.68921185019564,0.5200654120505307,0.13333333333333333,0.6757904672015101,0.4226618705035971,0.5743405275779376
svm,word,True,1.0,1,"(1, 2)",new,lemma,1.5,,scale,poly,0.6369578342586277,0.16666666666666666,0.7914156626506024,0.4176610978520286,0.68921185019564,0.5200654120505307,0.13333333333333333,0.6757904672015101,0.4226618705035971,0.5743405275779376
svm,word,True,0.25,1,"(1, 3)",new,lemma,5.0,balanced,scale,poly,0.6360601445268383,0.18823529411764706,0.7892749244712991,0.4165680473372781,0.6869759642258245,0.5282920715956521,0.14754098360655737,0.672762271414822,0.44014084507042256,0.5743405275779376
svm,word,True,0.5,1,"(1, 3)",new,lemma,5.0,balanced,scale,poly,0.6360601445268383,0.18823529411764706,0.7892749244712991,0.4165680473372781,0.6869759642258245,0.5282920715956521,0.14754098360655737,0.672762271414822,0.44014084507042256,0.5743405275779376
svm,word,True,1.0,1,"(1, 3)",new,lemma,5.0,balanced,scale,poly,0.6360601445268383,0.18823529411764706,0.7892749244712991,0.4165680473372781,0.6869759642258245,0.5282920715956521,0.14754098360655737,0.672762271414822,0.44014084507042256,0.5743405275779376
svm,word,True,0.25,1,"(1, 3)",new,lemma,5.0,,scale,poly,0.6359855202710742,0.18823529411764706,0.7931034482758621,0.4096969696969697,0.6903297931805478,0.5075515494151742,0.13333333333333333,0.6725912067352666,0.40073193046660566,0.5665467625899281
svm,word,True,0.5,1,"(1, 3)",new,lemma,5.0,,scale,poly,0.6359855202710742,0.18823529411764706,0.7931034482758621,0.4096969696969697,0.6903297931805478,0.5075515494151742,0.13333333333333333,0.6725912067352666,0.40073193046660566,0.5665467625899281
svm,word,True,1.0,1,"(1, 3)",new,lemma,5.0,,scale,poly,0.6359855202710742,0.18823529411764706,0.7931034482758621,0.4096969696969697,0.6903297931805478,0.5075515494151742,0.13333333333333333,0.6725912067352666,0.40073193046660566,0.5665467625899281
svm,word,True,0.25,1,"(1, 2)",new,stem,5.0,,scale,poly,0.6354050008314435,0.1839080459770115,0.7889769724424309,0.4156769596199525,0.6864169927333706,0.5321191589631683,0.17307692307692304,0.679639297579497,0.4391111111111111,0.5827338129496403
svm,word,True,0.5,1,"(1, 2)",new,stem,5.0,,scale,poly,0.6354050008314435,0.1839080459770115,0.7889769724424309,0.4156769596199525,0.6864169927333706,0.5321191589631683,0.17307692307692304,0.679639297579497,0.4391111111111111,0.5827338129496403
svm,word,True,1.0,1,"(1, 2)",new,stem,5.0,,scale,poly,0.6354050008314435,0.1839080459770115,0.7889769724424309,0.4156769596199525,0.6864169927333706,0.5321191589631683,0.17307692307692304,0.679639297579497,0.4391111111111111,0.5827338129496403
svm,word,True,0.25,1,"(1, 1)",new,lemma,0.5,balanced,scale,poly,0.6347496690095858,0.29166666666666663,0.7909774436090227,0.39902676399026765,0.6875349357182784,0.5276335084368585,0.19047619047619047,0.6739752144899905,0.4334532374100719,0.5755395683453237
